sensor_01,sensor_estados_c1,sensor_produccion_c1,sensor_estados_c2,sensor_produccion_c2,sensor_estados_c3,sensor_produccion_c3
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,1,0,1,0
1,1,0,1,0,1,0
1,1,0,1,0,1,0
1,1,0,1,0,1,0
1,1,10,1,10,1,10
1,1,10,1,10,1,10
1,1,10,1,10,1,10
1,1,10,1,10,1,10
1,1,10,1,10,1,10
1,1,10,1,10,1,10
1,1,14,1,14,1,14
1,1,14,1,14,1,14
1,1,14,1,14,1,14
1,1,14,0,14,0,14
1,1,14,0,14,0,14
1,1,14,0,14,0,14
1,1,14,0,14,0,14
1,1,14,0,14,0,14
1,1,14,0,14,0,14
1,1,14,0,14,0,14
1,1,21,0,21,0,21
1,1,21,1,21,1,21
1,1,21,1,21,1,21
1,1,21,1,21,1,21
1,1,21,1,21,1,21
1,1,21,1,21,1,21
1,1,21,1,21,1,21
1,1,21,1,21,1,21
1,1,21,1,21,1,21
1,1,21,1,21,1,21
1,1,21,1,21,1,21
1,1,21,1,21,1,21
1,1,21,1,21,1,21
1,1,21,1,21,1,21
1,1,29,1,29,1,29
1,1,29,1,29,1,29
1,1,29,1,29,1,29
1,1,29,1,29,1,29
1,1,29,1,29,1,29
1,1,29,0,29,0,29
1,1,29,0,29,0,29
1,1,29,0,29,0,29
1,1,29,0,29,0,29
1,1,29,0,29,0,29
1,1,29,0,29,0,29
1,1,29,0,29,0,29
1,1,42,0,42,0,42
1,1,42,1,42,1,42
1,1,42,1,42,1,42
1,1,42,1,42,1,42
1,1,42,1,42,1,42
1,1,42,1,42,1,42
1,1,42,1,42,1,42
1,1,42,1,42,1,42
1,1,42,1,42,1,42
1,1,42,1,42,1,42
1,1,42,1,42,1,42
1,1,44,1,44,1,44
1,1,44,1,44,1,44
1,1,44,1,44,1,44
1,1,44,0,44,0,44
1,1,44,0,44,0,44
1,1,44,0,44,0,44
1,1,44,0,44,0,44
1,1,44,0,44,0,44
1,1,44,1,44,1,44
1,1,51,1,51,1,51
1,1,51,1,51,1,51
1,1,51,1,51,1,51
1,1,51,1,51,1,51
1,1,51,1,51,1,51
1,1,51,1,51,1,51
1,1,51,1,51,1,51
1,1,51,1,51,1,51
1,1,51,1,51,1,51
1,1,51,1,51,1,51
1,1,51,1,51,1,51
1,1,51,1,51,1,51
1,1,51,1,51,1,51
1,1,51,1,51,1,51
1,1,51,1,51,1,51
1,1,60,1,60,1,60
1,1,60,1,60,1,60
1,1,60,1,60,1,60
1,1,60,1,60,1,60
1,1,60,1,60,1,60
1,1,60,1,60,1,60
1,1,60,1,60,1,60
1,1,60,1,60,1,60
1,1,60,1,60,1,60
1,1,60,1,60,1,60
1,1,64,1,64,1,64
1,1,64,1,64,1,64
1,1,65,1,65,1,65
1,1,65,0,65,0,65
1,1,65,0,65,0,65
1,1,65,0,65,0,65
1,1,65,0,65,0,65
1,1,65,0,65,0,65
1,0,65,0,65,0,65
1,0,68,0,68,0,68
1,0,68,0,68,0,68
1,0,68,1,68,1,68
1,0,68,1,68,1,68
1,0,68,1,68,1,68
1,0,68,1,68,1,68
1,0,68,1,68,1,68
1,0,68,1,68,1,68
1,0,68,1,68,1,68
1,0,68,0,68,0,68
1,0,68,0,68,0,68
1,0,68,0,68,0,68
